filename,category_id,chinese_name,english_name,label
img_013365.jpg,226,吊竹梅（斑叶鸭跖草）,Tradescantia zebrina,53
img_001912.jpg,173,啤酒花,Humulus lupulus,7
img_001202.jpg,169,旱金莲,Tropaeolum majus,4
img_024799.jpg,1833,多叶羽扇豆（鲁冰花）,Lupinus polyphyllus,99
img_012184.jpg,221,海滨千里光,Jacobaea maritima,48
img_000665.jpg,166,络石（风车茉莉）,Trachelospermum jasminoides,2
img_024395.jpg,1818,野甘蓝（花椰菜祖先）,Brassica oleracea,97
img_017539.jpg,243,猫儿菊,Hypochaeris radicata,70
img_001957.jpg,173,啤酒花,Humulus lupulus,7
img_008885.jpg,207,苹果,Malus domestica,35
img_021394.jpg,1777,日本木瓜（倭海棠）,Chaenomeles japonica,85
img_000250.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida,0
img_007309.jpg,201,续随子,Euphorbia lathyris,29
img_005416.jpg,192,叶子花（三角梅）,Bougainvillea spectabilis,21
img_019847.jpg,1759,香桃木,Myrtus communis,79
img_018939.jpg,1747,苹果薄荷,Mentha suaveolens,75
img_011351.jpg,217,伤口花,Anthyllis vulneraria,45
img_009547.jpg,210,白花矾根（墨西哥橘）,Choisya ternata,38
img_012171.jpg,221,海滨千里光,Jacobaea maritima,48
img_013290.jpg,226,吊竹梅（斑叶鸭跖草）,Tradescantia zebrina,53
img_004549.jpg,188,欧洲忍冬,Lonicera xylosteum,18
img_012814.jpg,224,三色堇,Viola tricolor,51
img_000078.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida,0
img_011698.jpg,218,山矢车菊,Centaurea montana,46
img_020566.jpg,1772,水飞蓟,Silybum marianum,82
img_009046.jpg,208,橙黄花亚菊,Pilosella aurantiaca,36
img_003964.jpg,184,马铃薯（阳芋）,Solanum tuberosum,15
img_010392.jpg,213,大叶黄杨,Euonymus japonicus,41
img_013662.jpg,227,除虫菊,Tanacetum parthenium,54
img_007569.jpg,202,荠菜,Capsella bursa-pastoris,30
img_014697.jpg,231,假叶树（刺叶树）,Ruscus aculeatus,58
img_024045.jpg,1808,泽珍珠菜,Lysimachia vulgaris,96
img_011118.jpg,216,母菊（洋甘菊）,Matricaria chamomilla,44
img_020264.jpg,1770,香龙血树（巴西木）,Dracaena fragrans,81
img_017254.jpg,242,岩生脐草,Umbilicus rupestris,69
img_000069.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida,0
img_011336.jpg,217,伤口花,Anthyllis vulneraria,45
img_009789.jpg,211,欧洲接骨木,Sambucus ebulus,39
img_021176.jpg,1776,欧洲山杨（垂枝桦）,Betula pendula,84
img_019748.jpg,1759,香桃木,Myrtus communis,79
img_024541.jpg,1827,晚花稠李,Prunus serotina,98
img_015864.jpg,236,皱叶酸模,Rumex crispus,63
img_014310.jpg,230,木瓜海棠（皱皮木瓜）,Chaenomeles speciosa,57
img_008887.jpg,207,苹果,Malus domestica,35
img_015304.jpg,234,四裂荆芥,Galeopsis tetrahit,61
img_006323.jpg,197,白毛岩蔷薇,Cistus albidus,25
img_023493.jpg,1805,留兰香（绿薄荷）,Mentha spicata,94
img_003168.jpg,179,蓝铃花,Hyacinthoides non-scripta,12
img_008850.jpg,207,苹果,Malus domestica,35
img_010153.jpg,212,小老鹳草,Geranium pusillum,40
img_001608.jpg,172,吊兰,Chlorophytum comosum,6
img_013796.jpg,228,香花芥,Hesperis matronalis,55
img_001113.jpg,169,旱金莲,Tropaeolum majus,4
img_013527.jpg,227,除虫菊,Tanacetum parthenium,54
img_020383.jpg,1770,香龙血树（巴西木）,Dracaena fragrans,81
img_011822.jpg,220,盔瓣秋海棠,Begonia cucullata,47
img_010055.jpg,212,小老鹳草,Geranium pusillum,40
img_020319.jpg,1770,香龙血树（巴西木）,Dracaena fragrans,81
img_001053.jpg,169,旱金莲,Tropaeolum majus,4
img_004924.jpg,189,柠檬,Citrus × limon,19
img_021336.jpg,1777,日本木瓜（倭海棠）,Chaenomeles japonica,85
img_010198.jpg,212,小老鹳草,Geranium pusillum,40
img_017749.jpg,244,勋章菊,Gazania rigens,71
img_009538.jpg,210,白花矾根（墨西哥橘）,Choisya ternata,38
img_006935.jpg,199,欧石楠,Calluna vulgaris,27
img_023912.jpg,1806,女贞（大叶女贞）,Ligustrum lucidum,95
img_002951.jpg,178,榆叶黑莓,Rubus ulmifolius,11
img_019254.jpg,1750,欧洲梨,Pyrus communis,77
img_015518.jpg,235,普通千里光,Senecio vulgaris,62
img_018637.jpg,1743,欧楂,Cydonia oblonga,74
img_006940.jpg,199,欧石楠,Calluna vulgaris,27
img_012147.jpg,221,海滨千里光,Jacobaea maritima,48
img_001127.jpg,169,旱金莲,Tropaeolum majus,4
img_015173.jpg,233,绵毛水苏（羊耳朵草）,Stachys byzantina,60
img_018504.jpg,1743,欧楂,Cydonia oblonga,74
img_024330.jpg,1818,野甘蓝（花椰菜祖先）,Brassica oleracea,97
img_023262.jpg,1801,斑点蓼,Persicaria maculosa,93
img_022586.jpg,1789,白柳,Salix alba,90
img_015902.jpg,236,皱叶酸模,Rumex crispus,63
img_002393.jpg,176,忍冬（金银花）,Lonicera japonica,9
img_011161.jpg,216,母菊（洋甘菊）,Matricaria chamomilla,44
img_011603.jpg,218,山矢车菊,Centaurea montana,46
img_014660.jpg,231,假叶树（刺叶树）,Ruscus aculeatus,58
img_015626.jpg,235,普通千里光,Senecio vulgaris,62
img_021172.jpg,1776,欧洲山杨（垂枝桦）,Betula pendula,84
img_012331.jpg,222,泽漆（五朵云）,Euphorbia helioscopia,49
img_021392.jpg,1777,日本木瓜（倭海棠）,Chaenomeles japonica,85
img_001080.jpg,169,旱金莲,Tropaeolum majus,4
img_016389.jpg,238,杏叶大戟,Euphorbia amygdaloides,65
img_013907.jpg,228,香花芥,Hesperis matronalis,55
img_024387.jpg,1818,野甘蓝（花椰菜祖先）,Brassica oleracea,97
img_000738.jpg,166,络石（风车茉莉）,Trachelospermum jasminoides,2
img_007871.jpg,203,日本小檗（红叶小檗）,Berberis thunbergii,31
img_012606.jpg,223,草地老鹳草,Geranium pratense,50
img_006911.jpg,199,欧石楠,Calluna vulgaris,27
img_005384.jpg,192,叶子花（三角梅）,Bougainvillea spectabilis,21
img_014862.jpg,232,细叶还阳参,Crepis capillaris,59
img_023170.jpg,1797,黄杨,Buxus sempervirens,92
img_013417.jpg,226,吊竹梅（斑叶鸭跖草）,Tradescantia zebrina,53
img_017532.jpg,243,猫儿菊,Hypochaeris radicata,70
img_003585.jpg,183,林生水苏,Stachys sylvatica,14
img_020185.jpg,1765,欧洲赤松,Pinus sylvestris,80
img_011788.jpg,220,盔瓣秋海棠,Begonia cucullata,47
img_009942.jpg,211,欧洲接骨木,Sambucus ebulus,39
img_018292.jpg,1734,欧鼠李,Rhamnus alaternus,73
img_012518.jpg,223,草地老鹳草,Geranium pratense,50
img_003142.jpg,179,蓝铃花,Hyacinthoides non-scripta,12
img_010835.jpg,215,酸橙（苦橙）,Citrus × aurantium,43
img_006370.jpg,197,白毛岩蔷薇,Cistus albidus,25
img_024032.jpg,1808,泽珍珠菜,Lysimachia vulgaris,96
img_017816.jpg,244,勋章菊,Gazania rigens,71
img_001687.jpg,172,吊兰,Chlorophytum comosum,6
img_002496.jpg,176,忍冬（金银花）,Lonicera japonica,9
img_002197.jpg,174,白景天,Sedum album,8
img_014432.jpg,230,木瓜海棠（皱皮木瓜）,Chaenomeles speciosa,57
img_018435.jpg,1734,欧鼠李,Rhamnus alaternus,73
